exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-238,mouth,not_aligned,0.03,0.0315,0.0345,0.0411
ICAO-238,rotation,not_aligned,0.162,0.1634,0.1827,0.1875
ICAO-238,l_away,not_aligned,0.0982,0.0995,0.1279,0.1294
ICAO-238,eyes_closed,not_aligned,0.0566,0.0567,0.029,0.0364
ICAO-238,close,not_aligned,0.0619,0.1238,0.0402,0.0804
ICAO-238,hat,not_aligned,0.0109,0.011,0.0119,0.0196
ICAO-238,dark_glasses,not_aligned,0.0258,0.0192,0.0098,0.0195
ICAO-238,frames_heavy,not_aligned,0.0028,0.0055,0.5,0.0
ICAO-238,frame_eyes,not_aligned,0.0504,0.0481,0.0326,0.0357
ICAO-238,flash_lenses,not_aligned,0.0475,0.0507,0.0254,0.0333
ICAO-238,veil,not_aligned,0.5,0.0,0.5,0.0
ICAO-238,reflection,not_aligned,0.1189,0.1208,0.1387,0.141
ICAO-238,light,not_aligned,0.106,0.1168,0.1294,0.1304
ICAO-238,sh_face,not_aligned,0.1424,0.1433,0.1342,0.1296
ICAO-238,sh_head,not_aligned,0.0788,0.0792,0.0897,0.0919
ICAO-238,blurred,not_aligned,0.0981,0.1032,0.1105,0.1143
ICAO-238,ink_mark,not_aligned,,,,
ICAO-238,skin_tone,not_aligned,0.1515,0.1534,0.1418,0.1445
ICAO-238,washed_out,not_aligned,0.0239,0.0478,0.5,0.0
ICAO-238,pixelation,not_aligned,0.2482,0.2581,0.2815,0.2939
ICAO-238,hair_eyes,not_aligned,0.054,0.0556,0.051,0.06
ICAO-238,background,not_aligned,0.0364,0.0369,0.0623,0.0597
ICAO-238,red_eyes,not_aligned,0.0536,0.0545,0.0354,0.0364
